occupation,visa_type,分数线,该线获邀率%,该线样本n,EOI总数,曾获邀
312211 Civil Engineering Draftsperson,491FSR Family Sponsored - Regional,,,,773.0,26.0
312211 Civil Engineering Draftsperson,491SNR State or Territory Nominated - Regional,105.0,20.0,175.0,29755.0,942.0
312212 Civil Engineering Technician,189PTS Points-Tested Stream,75.0,22.1,974.0,4886.0,477.0
312212 Civil Engineering Technician,190SAS Skilled Australian Sponsored,,,,13939.0,297.0
312212 Civil Engineering Technician,491FSR Family Sponsored - Regional,,,,298.0,8.0
312212 Civil Engineering Technician,491SNR State or Territory Nominated - Regional,,,,16974.0,167.0
312311 Electrical Engineering Draftsperson,189PTS Points-Tested Stream,65.0,10.1,109.0,477.0,55.0
312311 Electrical Engineering Draftsperson,190SAS Skilled Australian Sponsored,70.0,10.9,165.0,710.0,66.0
312311 Electrical Engineering Draftsperson,491FSR Family Sponsored - Regional,,,,42.0,3.0
312311 Electrical Engineering Draftsperson,491SNR State or Territory Nominated - Regional,,,,809.0,43.0
312312 Electrical Engineering Technician,189PTS Points-Tested Stream,80.0,34.0,53.0,697.0,101.0
312312 Electrical Engineering Technician,190SAS Skilled Australian Sponsored,90.0,12.3,130.0,2367.0,56.0
312312 Electrical Engineering Technician,491FSR Family Sponsored - Regional,,,,65.0,0.0
312312 Electrical Engineering Technician,491SNR State or Territory Nominated - Regional,,,,3128.0,28.0
312511 Mechanical Engineering Draftsperson,189PTS Points-Tested Stream,,,,1.0,0.0
312511 Mechanical Engineering Draftsperson,190SAS Skilled Australian Sponsored,,,,1.0,0.0
312511 Mechanical Engineering Draftsperson,491SNR State or Territory Nominated - Regional,,,,607.0,19.0
312512 Mechanical Engineering Technician,190SAS Skilled Australian Sponsored,80.0,10.4,144.0,1341.0,48.0
312512 Mechanical Engineering Technician,491SNR State or Territory Nominated - Regional,,,,1967.0,22.0
312611 Safety Inspector,491SNR State or Territory Nominated - Regional,,,,856.0,4.0
312911 Maintenance Planner,189PTS Points-Tested Stream,,,,2.0,0.0
312911 Maintenance Planner,190SAS Skilled Australian Sponsored,,,,4.0,0.0
312911 Maintenance Planner,491SNR State or Territory Nominated - Regional,100.0,15.5,58.0,2485.0,75.0
312912 Metallurgical or Materials Technician,189PTS Points-Tested Stream,,,,2.0,0.0
312912 Metallurgical or Materials Technician,190SAS Skilled Australian Sponsored,,,,918.0,62.0
312912 Metallurgical or Materials Technician,491SNR State or Territory Nominated - Regional,,,,1127.0,21.0
312913 Mine Deputy,190SAS Skilled Australian Sponsored,,,,63.0,4.0
312913 Mine Deputy,491SNR State or Territory Nominated - Regional,,,,129.0,3.0
312999 Building and Engineering Technicians nec,190SAS Skilled Australian Sponsored,,,,1.0,0.0
312999 Building and Engineering Technicians nec,491SNR State or Territory Nominated - Regional,,,,493.0,22.0
313111 Hardware Technician,190SAS Skilled Australian Sponsored,,,,79.0,1.0
313111 Hardware Technician,491SNR State or Territory Nominated - Regional,,,,119.0,1.0
313112 ICT Customer Support Officer,190SAS Skilled Australian Sponsored,,,,1006.0,14.0
313112 ICT Customer Support Officer,491SNR State or Territory Nominated - Regional,,,,1301.0,8.0
313113 Web Administrator,189PTS Points-Tested Stream,,,,1.0,0.0
313113 Web Administrator,190SAS Skilled Australian Sponsored,85.0,11.1,81.0,594.0,39.0
313113 Web Administrator,491SNR State or Territory Nominated - Regional,75.0,10.1,89.0,691.0,50.0
313199 ICT Support Technicians nec,190SAS Skilled Australian Sponsored,,,,235.0,1.0
313199 ICT Support Technicians nec,491SNR State or Territory Nominated - Regional,,,,325.0,0.0
313211 Radiocommunications Technician,189PTS Points-Tested Stream,,,,21.0,0.0
313211 Radiocommunications Technician,190SAS Skilled Australian Sponsored,,,,45.0,0.0
313211 Radiocommunications Technician,491FSR Family Sponsored - Regional,,,,3.0,0.0
313211 Radiocommunications Technician,491SNR State or Territory Nominated - Regional,,,,37.0,0.0
313212 Telecommunications Field Engineer,189PTS Points-Tested Stream,,,,470.0,12.0
313212 Telecommunications Field Engineer,190SAS Skilled Australian Sponsored,,,,484.0,14.0
313212 Telecommunications Field Engineer,491FSR Family Sponsored - Regional,,,,56.0,0.0
313212 Telecommunications Field Engineer,491SNR State or Territory Nominated - Regional,,,,620.0,12.0
313213 Telecommunications Network Planner,189PTS Points-Tested Stream,,,,1276.0,10.0
313213 Telecommunications Network Planner,190SAS Skilled Australian Sponsored,,,,1495.0,20.0
313213 Telecommunications Network Planner,491FSR Family Sponsored - Regional,,,,162.0,1.0
313213 Telecommunications Network Planner,491SNR State or Territory Nominated - Regional,,,,1803.0,43.0
313214 Telecommunications Technical Officer or Technologist,189PTS Points-Tested Stream,,,,520.0,9.0
313214 Telecommunications Technical Officer or Technologist,190SAS Skilled Australian Sponsored,,,,588.0,14.0
313214 Telecommunications Technical Officer or Technologist,491FSR Family Sponsored - Regional,,,,50.0,0.0
313214 Telecommunications Technical Officer or Technologist,491SNR State or Territory Nominated - Regional,,,,755.0,22.0
321111 Automotive Electrician,189PTS Points-Tested Stream,,,,264.0,23.0
321111 Automotive Electrician,190SAS Skilled Australian Sponsored,75.0,11.1,63.0,425.0,42.0
321111 Automotive Electrician,491FSR Family Sponsored - Regional,,,,9.0,0.0
321111 Automotive Electrician,491SNR State or Territory Nominated - Regional,75.0,10.3,78.0,424.0,38.0
321211 Motor Mechanic (General),189PTS Points-Tested Stream,,,,9702.0,186.0
321211 Motor Mechanic (General),190SAS Skilled Australian Sponsored,,,,12601.0,484.0
321211 Motor Mechanic (General),491FSR Family Sponsored - Regional,,,,625.0,5.0
321211 Motor Mechanic (General),491SNR State or Territory Nominated - Regional,,,,13608.0,364.0
321212 Diesel Motor Mechanic,189PTS Points-Tested Stream,,,,658.0,12.0
321212 Diesel Motor Mechanic,190SAS Skilled Australian Sponsored,,,,888.0,20.0
321212 Diesel Motor Mechanic,491FSR Family Sponsored - Regional,,,,53.0,0.0
321212 Diesel Motor Mechanic,491SNR State or Territory Nominated - Regional,,,,890.0,23.0
321213 Motorcycle Mechanic,189PTS Points-Tested Stream,,,,10.0,1.0
321213 Motorcycle Mechanic,190SAS Skilled Australian Sponsored,,,,21.0,1.0
321213 Motorcycle Mechanic,491SNR State or Territory Nominated - Regional,,,,4.0,1.0
321214 Small Engine Mechanic,189PTS Points-Tested Stream,,,,4.0,0.0
321214 Small Engine Mechanic,190SAS Skilled Australian Sponsored,,,,5.0,1.0
322113 Farrier,190SAS Skilled Australian Sponsored,,,,5.0,0.0
322211 Sheetmetal Trades Worker,189PTS Points-Tested Stream,,,,56.0,12.0
322211 Sheetmetal Trades Worker,190SAS Skilled Australian Sponsored,,,,100.0,20.0
322211 Sheetmetal Trades Worker,491FSR Family Sponsored - Regional,,,,1.0,0.0
322211 Sheetmetal Trades Worker,491SNR State or Territory Nominated - Regional,,,,114.0,9.0
322311 Metal Fabricator,189PTS Points-Tested Stream,75.0,20.5,78.0,642.0,77.0
322311 Metal Fabricator,190SAS Skilled Australian Sponsored,65.0,12.5,184.0,894.0,108.0
322311 Metal Fabricator,491FSR Family Sponsored - Regional,,,,27.0,1.0
322311 Metal Fabricator,491SNR State or Territory Nominated - Regional,,,,790.0,45.0
322312 Pressure Welder,491SNR State or Territory Nominated - Regional,,,,2.0,0.0
322313 Welder (First Class),189PTS Points-Tested Stream,75.0,21.4,266.0,1542.0,248.0
322313 Welder (First Class),190SAS Skilled Australian Sponsored,65.0,12.0,532.0,2327.0,296.0
322313 Welder (First Class),491FSR Family Sponsored - Regional,,,,85.0,1.0
322313 Welder (First Class),491SNR State or Territory Nominated - Regional,90.0,11.3,195.0,2571.0,154.0
323111 Aircraft Maintenance Engineer (Avionics),190SAS Skilled Australian Sponsored,,,,302.0,13.0
323111 Aircraft Maintenance Engineer (Avionics),491SNR State or Territory Nominated - Regional,,,,331.0,4.0
323112 Aircraft Maintenance Engineer (Mechanical),190SAS Skilled Australian Sponsored,,,,620.0,21.0
323112 Aircraft Maintenance Engineer (Mechanical),491SNR State or Territory Nominated - Regional,,,,754.0,11.0
323113 Aircraft Maintenance Engineer (Structures),190SAS Skilled Australian Sponsored,,,,19.0,1.0
323113 Aircraft Maintenance Engineer (Structures),491SNR State or Territory Nominated - Regional,,,,11.0,1.0
323211 Fitter (General),189PTS Points-Tested Stream,,,,938.0,73.0
323211 Fitter (General),190SAS Skilled Australian Sponsored,75.0,11.6,302.0,2203.0,192.0
323211 Fitter (General),491FSR Family Sponsored - Regional,,,,32.0,2.0
323211 Fitter (General),491SNR State or Territory Nominated - Regional,,,,2912.0,103.0
323212 Fitter and Turner,189PTS Points-Tested Stream,,,,159.0,9.0
323212 Fitter and Turner,190SAS Skilled Australian Sponsored,,,,276.0,16.0
323212 Fitter and Turner,491FSR Family Sponsored - Regional,,,,8.0,0.0
323212 Fitter and Turner,491SNR State or Territory Nominated - Regional,75.0,10.3,116.0,490.0,25.0
323213 Fitter-Welder,189PTS Points-Tested Stream,,,,25.0,3.0
323213 Fitter-Welder,190SAS Skilled Australian Sponsored,,,,47.0,5.0
323213 Fitter-Welder,491FSR Family Sponsored - Regional,,,,4.0,0.0
323213 Fitter-Welder,491SNR State or Territory Nominated - Regional,,,,107.0,3.0
323214 Metal Machinist (First Class),189PTS Points-Tested Stream,,,,166.0,10.0
323214 Metal Machinist (First Class),190SAS Skilled Australian Sponsored,75.0,14.5,83.0,757.0,59.0
323214 Metal Machinist (First Class),491FSR Family Sponsored - Regional,,,,13.0,2.0
323214 Metal Machinist (First Class),491SNR State or Territory Nominated - Regional,,,,1171.0,48.0
323299 Metal Fitters and Machinists nec,491SNR State or Territory Nominated - Regional,,,,1.0,0.0
323313 Locksmith,189PTS Points-Tested Stream,,,,31.0,0.0
323313 Locksmith,190SAS Skilled Australian Sponsored,,,,30.0,0.0
323313 Locksmith,491SNR State or Territory Nominated - Regional,,,,19.0,0.0
323412 Toolmaker,190SAS Skilled Australian Sponsored,,,,212.0,10.0
323412 Toolmaker,491SNR State or Territory Nominated - Regional,,,,318.0,0.0
324111 Panelbeater,189PTS Points-Tested Stream,,,,63.0,7.0
324111 Panelbeater,190SAS Skilled Australian Sponsored,,,,76.0,4.0
324111 Panelbeater,491FSR Family Sponsored - Regional,,,,2.0,0.0
324111 Panelbeater,491SNR State or Territory Nominated - Regional,,,,70.0,4.0
324311 Vehicle Painter,491SNR State or Territory Nominated - Regional,,,,46.0,1.0
331111 Bricklayer,189PTS Points-Tested Stream,55.0,12.5,72.0,797.0,380.0
331111 Bricklayer,190SAS Skilled Australian Sponsored,65.0,18.3,470.0,1554.0,326.0
331111 Bricklayer,491FSR Family Sponsored - Regional,,,,26.0,7.0
331111 Bricklayer,491SNR State or Territory Nominated - Regional,65.0,10.4,241.0,1500.0,224.0
331112 Stonemason,189PTS Points-Tested Stream,,,,30.0,13.0
331112 Stonemason,190SAS Skilled Australian Sponsored,,,,38.0,9.0
331112 Stonemason,491SNR State or Territory Nominated - Regional,,,,34.0,4.0
331211 Carpenter and Joiner,189PTS Points-Tested Stream,65.0,46.0,87.0,256.0,121.0
331211 Carpenter and Joiner,190SAS Skilled Australian Sponsored,65.0,13.5,111.0,505.0,85.0
331211 Carpenter and Joiner,491FSR Family Sponsored - Regional,,,,4.0,2.0
331211 Carpenter and Joiner,491SNR State or Territory Nominated - Regional,65.0,15.0,60.0,361.0,42.0
331212 Carpenter,189PTS Points-Tested Stream,55.0,10.9,358.0,6012.0,3177.0
331212 Carpenter,190SAS Skilled Australian Sponsored,65.0,16.4,2084.0,8632.0,2445.0
331212 Carpenter,491FSR Family Sponsored - Regional,,,,161.0,57.0
331212 Carpenter,491SNR State or Territory Nominated - Regional,65.0,18.1,425.0,6306.0,1378.0
331213 Joiner,189PTS Points-Tested Stream,,,,53.0,27.0
331213 Joiner,190SAS Skilled Australian Sponsored,,,,60.0,20.0
331213 Joiner,491FSR Family Sponsored - Regional,,,,1.0,1.0
331213 Joiner,491SNR State or Territory Nominated - Regional,,,,31.0,5.0
332111 Floor Finisher,491SNR State or Territory Nominated - Regional,,,,51.0,3.0
332211 Painting Trades Worker,189PTS Points-Tested Stream,65.0,23.8,1416.0,4450.0,1201.0
332211 Painting Trades Worker,190SAS Skilled Australian Sponsored,65.0,13.8,1293.0,5948.0,1119.0
332211 Painting Trades Worker,491FSR Family Sponsored - Regional,,,,143.0,41.0
332211 Painting Trades Worker,491SNR State or Territory Nominated - Regional,65.0,11.2,402.0,5236.0,789.0
333111 Glazier,189PTS Points-Tested Stream,,,,62.0,37.0
333111 Glazier,190SAS Skilled Australian Sponsored,,,,86.0,27.0
333111 Glazier,491FSR Family Sponsored - Regional,,,,2.0,1.0
333111 Glazier,491SNR State or Territory Nominated - Regional,,,,72.0,15.0
333211 Fibrous Plasterer,189PTS Points-Tested Stream,,,,48.0,22.0
333211 Fibrous Plasterer,190SAS Skilled Australian Sponsored,,,,64.0,17.0
333211 Fibrous Plasterer,491FSR Family Sponsored - Regional,,,,5.0,2.0
333211 Fibrous Plasterer,491SNR State or Territory Nominated - Regional,,,,63.0,17.0
333212 Solid Plasterer,189PTS Points-Tested Stream,65.0,68.1,72.0,159.0,83.0
333212 Solid Plasterer,190SAS Skilled Australian Sponsored,65.0,28.1,64.0,240.0,86.0
333212 Solid Plasterer,491FSR Family Sponsored - Regional,,,,7.0,4.0
333212 Solid Plasterer,491SNR State or Territory Nominated - Regional,,,,164.0,39.0
333311 Roof Tiler,190SAS Skilled Australian Sponsored,,,,43.0,9.0
333311 Roof Tiler,491SNR State or Territory Nominated - Regional,,,,18.0,2.0
333411 Wall and Floor Tiler,189PTS Points-Tested Stream,60.0,16.8,131.0,843.0,454.0
333411 Wall and Floor Tiler,190SAS Skilled Australian Sponsored,60.0,14.5,55.0,1103.0,367.0
333411 Wall and Floor Tiler,491FSR Family Sponsored - Regional,,,,15.0,9.0
333411 Wall and Floor Tiler,491SNR State or Territory Nominated - Regional,65.0,15.9,69.0,858.0,216.0
334111 Plumber (General),189PTS Points-Tested Stream,65.0,50.0,116.0,346.0,154.0
334111 Plumber (General),190SAS Skilled Australian Sponsored,65.0,25.3,170.0,675.0,170.0
334111 Plumber (General),491FSR Family Sponsored - Regional,,,,16.0,7.0
334111 Plumber (General),491SNR State or Territory Nominated - Regional,65.0,20.7,87.0,349.0,76.0
334112 Airconditioning and Mechanical Services Plumber,189PTS Points-Tested Stream,,,,92.0,57.0
334112 Airconditioning and Mechanical Services Plumber,190SAS Skilled Australian Sponsored,65.0,16.5,103.0,450.0,47.0
334112 Airconditioning and Mechanical Services Plumber,491FSR Family Sponsored - Regional,,,,6.0,3.0
334112 Airconditioning and Mechanical Services Plumber,491SNR State or Territory Nominated - Regional,65.0,10.2,88.0,494.0,33.0
334113 Drainer,189PTS Points-Tested Stream,,,,39.0,15.0
334113 Drainer,190SAS Skilled Australian Sponsored,,,,58.0,19.0
334113 Drainer,491SNR State or Territory Nominated - Regional,,,,26.0,4.0
334114 Gasfitter,189PTS Points-Tested Stream,,,,16.0,7.0
334114 Gasfitter,190SAS Skilled Australian Sponsored,,,,38.0,8.0
334114 Gasfitter,491FSR Family Sponsored - Regional,,,,1.0,1.0
334114 Gasfitter,491SNR State or Territory Nominated - Regional,,,,29.0,4.0
334115 Roof Plumber,189PTS Points-Tested Stream,,,,42.0,21.0
334115 Roof Plumber,190SAS Skilled Australian Sponsored,,,,61.0,18.0
334115 Roof Plumber,491SNR State or Territory Nominated - Regional,,,,38.0,7.0
341111 Electrician (General),189PTS Points-Tested Stream,50.0,11.7,128.0,1593.0,687.0
341111 Electrician (General),190SAS Skilled Australian Sponsored,65.0,25.3,728.0,2785.0,737.0
341111 Electrician (General),491FSR Family Sponsored - Regional,,,,50.0,19.0
341111 Electrician (General),491SNR State or Territory Nominated - Regional,65.0,12.3,478.0,1858.0,297.0
341112 Electrician (Special Class),189PTS Points-Tested Stream,,,,41.0,17.0
341112 Electrician (Special Class),190SAS Skilled Australian Sponsored,,,,79.0,19.0
341112 Electrician (Special Class),491SNR State or Territory Nominated - Regional,,,,51.0,7.0
341113 Lift Mechanic,189PTS Points-Tested Stream,,,,25.0,8.0
341113 Lift Mechanic,190SAS Skilled Australian Sponsored,,,,59.0,13.0
341113 Lift Mechanic,491SNR State or Territory Nominated - Regional,,,,67.0,12.0
342111 Airconditioning and Refrigeration Mechanic,189PTS Points-Tested Stream,65.0,12.9,62.0,198.0,24.0
342111 Airconditioning and Refrigeration Mechanic,190SAS Skilled Australian Sponsored,65.0,14.4,132.0,430.0,58.0
342111 Airconditioning and Refrigeration Mechanic,491FSR Family Sponsored - Regional,,,,10.0,1.0
342111 Airconditioning and Refrigeration Mechanic,491SNR State or Territory Nominated - Regional,70.0,11.0,91.0,385.0,41.0
342211 Electrical Linesworker,491SNR State or Territory Nominated - Regional,,,,29.0,5.0
342212 Technical Cable Jointer,189PTS Points-Tested Stream,,,,9.0,1.0
342212 Technical Cable Jointer,190SAS Skilled Australian Sponsored,,,,16.0,2.0
342212 Technical Cable Jointer,491SNR State or Territory Nominated - Regional,,,,13.0,0.0
342311 Business Machine Mechanic,190SAS Skilled Australian Sponsored,,,,17.0,0.0
342311 Business Machine Mechanic,491SNR State or Territory Nominated - Regional,,,,30.0,0.0
342313 Electronic Equipment Trades Worker,189PTS Points-Tested Stream,,,,630.0,38.0
342313 Electronic Equipment Trades Worker,190SAS Skilled Australian Sponsored,90.0,16.7,60.0,1701.0,41.0
342313 Electronic Equipment Trades Worker,491FSR Family Sponsored - Regional,,,,45.0,0.0
342313 Electronic Equipment Trades Worker,491SNR State or Territory Nominated - Regional,,,,2222.0,21.0
342314 Electronic Instrument Trades Worker (General),189PTS Points-Tested Stream,,,,296.0,10.0
342314 Electronic Instrument Trades Worker (General),190SAS Skilled Australian Sponsored,,,,789.0,16.0
342314 Electronic Instrument Trades Worker (General),491FSR Family Sponsored - Regional,,,,22.0,0.0
342314 Electronic Instrument Trades Worker (General),491SNR State or Territory Nominated - Regional,,,,762.0,9.0
342315 Electronic Instrument Trades Worker (Special Class),189PTS Points-Tested Stream,,,,237.0,13.0
342315 Electronic Instrument Trades Worker (Special Class),190SAS Skilled Australian Sponsored,85.0,10.7,75.0,755.0,22.0
342315 Electronic Instrument Trades Worker (Special Class),491FSR Family Sponsored - Regional,,,,17.0,0.0
342315 Electronic Instrument Trades Worker (Special Class),491SNR State or Territory Nominated - Regional,95.0,12.7,63.0,776.0,10.0
342411 Cabler (Data and Telecommunications),190SAS Skilled Australian Sponsored,,,,327.0,27.0
342411 Cabler (Data and Telecommunications),491SNR State or Territory Nominated - Regional,,,,353.0,29.0
342413 Telecommunications Linesworker,190SAS Skilled Australian Sponsored,,,,16.0,1.0
342413 Telecommunications Linesworker,491SNR State or Territory Nominated - Regional,,,,34.0,1.0
351111 Baker,190SAS Skilled Australian Sponsored,,,,916.0,50.0
351111 Baker,491SNR State or Territory Nominated - Regional,65.0,10.5,105.0,1048.0,49.0
351112 Pastrycook,189PTS Points-Tested Stream,,,,1.0,0.0
351112 Pastrycook,190SAS Skilled Australian Sponsored,,,,630.0,37.0
351112 Pastrycook,491SNR State or Territory Nominated - Regional,,,,775.0,26.0
351211 Butcher or Smallgoods Maker,190SAS Skilled Australian Sponsored,,,,44.0,0.0
351211 Butcher or Smallgoods Maker,491SNR State or Territory Nominated - Regional,,,,43.0,3.0
351311 Chef,189PTS Points-Tested Stream,90.0,14.3,955.0,36529.0,880.0
351311 Chef,190SAS Skilled Australian Sponsored,95.0,13.2,622.0,41764.0,1863.0
351311 Chef,491FSR Family Sponsored - Regional,,,,2451.0,26.0
351311 Chef,491SNR State or Territory Nominated - Regional,105.0,13.6,434.0,46620.0,1832.0
351411 Cook,189PTS Points-Tested Stream,,,,50.0,0.0
351411 Cook,190SAS Skilled Australian Sponsored,,,,9788.0,499.0
351411 Cook,491FSR Family Sponsored - Regional,,,,2.0,0.0
351411 Cook,491SNR State or Territory Nominated - Regional,,,,11303.0,407.0
361111 Dog Handler or Trainer,190SAS Skilled Australian Sponsored,,,,10.0,0.0
361111 Dog Handler or Trainer,491SNR State or Territory Nominated - Regional,,,,7.0,0.0
361112 Horse Trainer,189PTS Points-Tested Stream,,,,9.0,0.0
361112 Horse Trainer,190SAS Skilled Australian Sponsored,,,,12.0,1.0
361112 Horse Trainer,491SNR State or Territory Nominated - Regional,,,,14.0,0.0
361114 Zookeeper,491SNR State or Territory Nominated - Regional,,,,23.0,2.0
361199 Animal Attendants and Trainers nec,190SAS Skilled Australian Sponsored,,,,49.0,0.0
361199 Animal Attendants and Trainers nec,491SNR State or Territory Nominated - Regional,,,,53.0,2.0
361311 Veterinary Nurse,190SAS Skilled Australian Sponsored,,,,1199.0,21.0
361311 Veterinary Nurse,491SNR State or Territory Nominated - Regional,,,,1586.0,20.0
362111 Florist,190SAS Skilled Australian Sponsored,,,,7.0,0.0
362111 Florist,491SNR State or Territory Nominated - Regional,,,,2.0,0.0
362211 Gardener (General),190SAS Skilled Australian Sponsored,,,,88.0,7.0
362211 Gardener (General),491SNR State or Territory Nominated - Regional,,,,67.0,6.0
362212 Arborist,190SAS Skilled Australian Sponsored,,,,31.0,1.0
362212 Arborist,491SNR State or Territory Nominated - Regional,,,,21.0,0.0
362213 Landscape Gardener,190SAS Skilled Australian Sponsored,,,,56.0,2.0
362213 Landscape Gardener,491SNR State or Territory Nominated - Regional,,,,43.0,1.0
362311 Greenkeeper,190SAS Skilled Australian Sponsored,,,,4.0,0.0
362311 Greenkeeper,491SNR State or Territory Nominated - Regional,,,,4.0,0.0
362411 Nurseryperson,491SNR State or Territory Nominated - Regional,,,,20.0,1.0
391111 Hairdresser,190SAS Skilled Australian Sponsored,,,,739.0,17.0
391111 Hairdresser,491SNR State or Territory Nominated - Regional,,,,1085.0,17.0
392111 Print Finisher,190SAS Skilled Australian Sponsored,,,,3.0,0.0
392111 Print Finisher,491SNR State or Territory Nominated - Regional,,,,3.0,0.0
392311 Printing Machinist,190SAS Skilled Australian Sponsored,,,,7.0,1.0
392311 Printing Machinist,491SNR State or Territory Nominated - Regional,,,,9.0,1.0
393213 Dressmaker or Tailor,190SAS Skilled Australian Sponsored,,,,12.0,0.0
393213 Dressmaker or Tailor,491SNR State or Territory Nominated - Regional,,,,20.0,0.0
393311 Upholsterer,190SAS Skilled Australian Sponsored,,,,5.0,0.0
393311 Upholsterer,491SNR State or Territory Nominated - Regional,,,,3.0,0.0
394111 Cabinetmaker,189PTS Points-Tested Stream,65.0,21.9,128.0,420.0,100.0
394111 Cabinetmaker,190SAS Skilled Australian Sponsored,65.0,15.2,198.0,823.0,126.0
394111 Cabinetmaker,491FSR Family Sponsored - Regional,,,,17.0,2.0
394111 Cabinetmaker,491SNR State or Territory Nominated - Regional,65.0,12.4,129.0,732.0,61.0
394211 Furniture Finisher,190SAS Skilled Australian Sponsored,,,,1.0,0.0
394211 Furniture Finisher,491SNR State or Territory Nominated - Regional,,,,1.0,0.0
394213 Wood Machinist,190SAS Skilled Australian Sponsored,,,,4.0,0.0
394213 Wood Machinist,491SNR State or Territory Nominated - Regional,,,,4.0,0.0
399111 Boat Builder and Repairer,189PTS Points-Tested Stream,,,,100.0,21.0
399111 Boat Builder and Repairer,190SAS Skilled Australian Sponsored,,,,78.0,10.0
399111 Boat Builder and Repairer,491FSR Family Sponsored - Regional,,,,1.0,0.0
399111 Boat Builder and Repairer,491SNR State or Territory Nominated - Regional,,,,85.0,15.0
399112 Shipwright,189PTS Points-Tested Stream,,,,7.0,2.0
399112 Shipwright,190SAS Skilled Australian Sponsored,,,,7.0,1.0
399112 Shipwright,491SNR State or Territory Nominated - Regional,,,,6.0,1.0
399212 Gas or Petroleum Operator,491SNR State or Territory Nominated - Regional,,,,121.0,3.0
399213 Power Generation Plant Operator,190SAS Skilled Australian Sponsored,,,,41.0,2.0
399213 Power Generation Plant Operator,491SNR State or Territory Nominated - Regional,,,,53.0,5.0
399411 Jeweller,190SAS Skilled Australian Sponsored,,,,2.0,0.0
399411 Jeweller,491SNR State or Territory Nominated - Regional,,,,2.0,0.0
"399512 Camera Operator (Film, Television or Video)",190SAS Skilled Australian Sponsored,,,,9.0,0.0
"399512 Camera Operator (Film, Television or Video)",491SNR State or Territory Nominated - Regional,,,,4.0,1.0
399514 Make Up Artist,190SAS Skilled Australian Sponsored,,,,15.0,0.0
399514 Make Up Artist,491SNR State or Territory Nominated - Regional,,,,16.0,0.0
399516 Sound Technician,190SAS Skilled Australian Sponsored,,,,13.0,0.0
399516 Sound Technician,491SNR State or Territory Nominated - Regional,,,,24.0,0.0
399599 Performing Arts Technicians nec,190SAS Skilled Australian Sponsored,,,,30.0,1.0
399599 Performing Arts Technicians nec,491SNR State or Territory Nominated - Regional,,,,13.0,1.0
411111 Ambulance Officer,190SAS Skilled Australian Sponsored,75.0,10.3,58.0,344.0,17.0
411111 Ambulance Officer,491SNR State or Territory Nominated - Regional,,,,685.0,21.0
411112 Intensive Care Ambulance Paramedic,190SAS Skilled Australian Sponsored,,,,26.0,3.0
411112 Intensive Care Ambulance Paramedic,491SNR State or Territory Nominated - Regional,,,,26.0,2.0
411211 Dental Hygienist,491SNR State or Territory Nominated - Regional,,,,70.0,6.0
411213 Dental Technician,189PTS Points-Tested Stream,,,,1.0,0.0
411213 Dental Technician,190SAS Skilled Australian Sponsored,,,,201.0,5.0
411213 Dental Technician,491SNR State or Territory Nominated - Regional,,,,212.0,8.0
411214 Dental Therapist,491SNR State or Territory Nominated - Regional,,,,34.0,4.0
411311 Diversional Therapist,190SAS Skilled Australian Sponsored,65.0,17.3,81.0,495.0,46.0
411311 Diversional Therapist,491SNR State or Territory Nominated - Regional,,,,573.0,39.0
411411 Enrolled Nurse,189PTS Points-Tested Stream,,,,18.0,0.0
411411 Enrolled Nurse,190SAS Skilled Australian Sponsored,65.0,12.7,1757.0,9875.0,719.0
411411 Enrolled Nurse,491SNR State or Territory Nominated - Regional,100.0,10.6,217.0,9202.0,549.0
411611 Massage Therapist,190SAS Skilled Australian Sponsored,65.0,25.4,59.0,342.0,34.0
411611 Massage Therapist,491SNR State or Territory Nominated - Regional,65.0,29.8,57.0,573.0,66.0
411711 Community Worker,189PTS Points-Tested Stream,,,,9.0,0.0
411711 Community Worker,190SAS Skilled Australian Sponsored,80.0,11.9,1408.0,8182.0,683.0
411711 Community Worker,491FSR Family Sponsored - Regional,,,,1.0,0.0
411711 Community Worker,491SNR State or Territory Nominated - Regional,95.0,10.0,601.0,7923.0,513.0
411712 Disabilities Services Officer,190SAS Skilled Australian Sponsored,,,,134.0,13.0
411712 Disabilities Services Officer,491SNR State or Territory Nominated - Regional,,,,89.0,9.0
411713 Family Support Worker,190SAS Skilled Australian Sponsored,,,,112.0,4.0
411713 Family Support Worker,491SNR State or Territory Nominated - Regional,,,,88.0,5.0
411715 Residential Care Officer,190SAS Skilled Australian Sponsored,,,,54.0,4.0
411715 Residential Care Officer,491SNR State or Territory Nominated - Regional,,,,39.0,1.0
411716 Youth Worker,190SAS Skilled Australian Sponsored,,,,206.0,14.0
411716 Youth Worker,491SNR State or Territory Nominated - Regional,,,,186.0,16.0
441211 Emergency Service Worker,491SNR State or Territory Nominated - Regional,,,,85.0,3.0
451211 Driving Instructor,491SNR State or Territory Nominated - Regional,,,,21.0,2.0
451711 Flight Attendant,491SNR State or Territory Nominated - Regional,,,,665.0,4.0
451815 First Aid Trainer,491SNR State or Territory Nominated - Regional,,,,57.0,13.0
452311 Diving Instructor (Open Water),190SAS Skilled Australian Sponsored,,,,30.0,0.0
452311 Diving Instructor (Open Water),491SNR State or Territory Nominated - Regional,,,,38.0,0.0
452312 Gymnastics Coach or Instructor,190SAS Skilled Australian Sponsored,,,,30.0,0.0
