occupation,visa_type,分数线,该线获邀率%,该线样本n,EOI总数,曾获邀
232214 Other Spatial Scientist,190SAS Skilled Australian Sponsored,85.0,18.0,100.0,896.0,89.0
232214 Other Spatial Scientist,491FSR Family Sponsored - Regional,,,,10.0,1.0
232214 Other Spatial Scientist,491SNR State or Territory Nominated - Regional,95.0,11.1,54.0,716.0,28.0
232311 Fashion Designer,190SAS Skilled Australian Sponsored,,,,641.0,2.0
232311 Fashion Designer,491SNR State or Territory Nominated - Regional,,,,807.0,1.0
232312 Industrial Designer,189PTS Points-Tested Stream,,,,1.0,0.0
232312 Industrial Designer,190SAS Skilled Australian Sponsored,,,,544.0,8.0
232312 Industrial Designer,491SNR State or Territory Nominated - Regional,,,,478.0,3.0
232313 Jewellery Designer,190SAS Skilled Australian Sponsored,,,,49.0,0.0
232313 Jewellery Designer,491SNR State or Territory Nominated - Regional,,,,61.0,0.0
232411 Graphic Designer,190SAS Skilled Australian Sponsored,,,,3693.0,55.0
232411 Graphic Designer,491SNR State or Territory Nominated - Regional,,,,4109.0,44.0
232412 Illustrator,190SAS Skilled Australian Sponsored,,,,182.0,7.0
232412 Illustrator,491SNR State or Territory Nominated - Regional,,,,161.0,4.0
232413 Multimedia Designer,491SNR State or Territory Nominated - Regional,,,,379.0,6.0
232414 Web Designer,189PTS Points-Tested Stream,,,,1.0,0.0
232414 Web Designer,190SAS Skilled Australian Sponsored,,,,1945.0,23.0
232414 Web Designer,491SNR State or Territory Nominated - Regional,,,,2254.0,19.0
232511 Interior Designer,189PTS Points-Tested Stream,,,,1.0,0.0
232511 Interior Designer,190SAS Skilled Australian Sponsored,,,,1484.0,10.0
232511 Interior Designer,491SNR State or Territory Nominated - Regional,,,,1464.0,6.0
232611 Urban and Regional Planner,190SAS Skilled Australian Sponsored,80.0,10.6,426.0,2181.0,170.0
232611 Urban and Regional Planner,491SNR State or Territory Nominated - Regional,100.0,11.8,93.0,1937.0,64.0
233111 Chemical Engineer,189PTS Points-Tested Stream,85.0,24.9,708.0,5402.0,545.0
